symbol,name,market,asset_type,currency,theme,sector,index_family,expense_ratio_pct,complexity,tags,aliases,is_leveraged,is_inverse,source_market_segment
2528.T,iFreeETF 東証REIT Core指数,jp,etf,JPY,reit,real_estate,,0.2,beginner,"low_cost,balanced",iFreeETF 東証REIT Core指数 東証REIT Core指数（配当込み）,false,false,
2527.T,NZAM 上場投信 東証REIT Core指数,jp,etf,JPY,reit,real_estate,,0.145,beginner,"low_cost,balanced",NZAM 上場投信 東証REIT Core指数 配当込み東証 REIT Core 指数,false,false,
2565.T,グローバルＸ ロジスティクス・J-REIT ETF,jp,etf,JPY,reit,real_estate,,0.275,beginner,"low_cost,balanced",グローバルＸ ロジスティクス・J-REIT ETF 配当込み東証REIT物流フォーカス指数,false,false,
489A.T,東証ＲＥＩＴ物流フォーカスＥＴＦ,jp,etf,JPY,reit,real_estate,,0.20,beginner,"low_cost,balanced",東証ＲＥＩＴ物流フォーカスＥＴＦ 東証REIT物流フォーカス指数,false,false,
1555.T,上場インデックスファンド豪州リート（S&P/ASX200 A-REIT）,jp,etf,JPY,reit,real_estate,,0.45,beginner,"low_cost,balanced",上場インデックスファンド豪州リート（S&P/ASX200 A-REIT） S&P/ASX200 A-REIT指数,false,false,
1495.T,上場インデックスファンドアジアリート,jp,etf,JPY,reit,real_estate,,0.65,beginner,"low_cost,balanced",上場インデックスファンドアジアリート FTSE EPRA/Nareitアジア（除く日本）リート10％キャップ指数,false,false,
1659.T,iシェアーズ 米国リート ETF,jp,etf,JPY,reit,real_estate,,0.20,beginner,"low_cost,balanced",iシェアーズ 米国リート ETF FTSE Nareit Equity REITs インデックス（配当込み、TTM、 円建て）,false,false,
1660.T,ＭＡＸＩＳ高利回りＪリート上場投信,jp,etf,JPY,reit,real_estate,,0.145,beginner,"low_cost,balanced",ＭＡＸＩＳ高利回りＪリート上場投信 野村高利回りJリート指数,false,false,
459A.T,野村高利回りＪリート指数ＥＴＦ,jp,etf,JPY,reit,real_estate,,0.20,beginner,"low_cost,balanced",野村高利回りＪリート指数ＥＴＦ 野村高利回りＪリート指数,false,false,
2515.T,ＮＥＸＴ ＦＵＮＤＳ 外国ＲＥＩＴ・Ｓ＆Ｐ先進国ＲＥＩＴ指数（除く日本・為替ヘッジなし）連動型上場投信,jp,etf,JPY,reit,real_estate,msci_world,0.17,beginner,"low_cost,balanced",ＮＥＸＴ ＦＵＮＤＳ 外国ＲＥＩＴ・Ｓ＆Ｐ先進国ＲＥＩＴ指数（除く日本・為替ヘッジなし）連動型上場投信 S&P先進国REIT指数（除く日本、配当込み）,false,false,
2566.T,上場インデックスファンド日経ESGリート,jp,etf,JPY,reit,real_estate,,0.15,beginner,"low_cost,balanced",上場インデックスファンド日経ESGリート 日経ESG-REIT指数,false,false,
2852.T,iシェアーズ グリーンＪリート ETF,jp,etf,JPY,reit,real_estate,,0.15,beginner,"low_cost,balanced",iシェアーズ グリーンＪリート ETF FTSE EPRA Nareitグリーン・フォーカスJ-REITセレクト・インデックス（配当込み）,false,false,
2855.T,グローバルＸ グリーン・J-REIT ETF,jp,etf,JPY,reit,real_estate,,0.19,beginner,"low_cost,balanced",グローバルＸ グリーン・J-REIT ETF Solactive Japan Green J-REIT Index（配当込み）,false,false,
2864.T,グローバルＸ ロジスティクス・REIT ETF,jp,etf,JPY,reit,real_estate,,0.375,beginner,"low_cost,balanced",グローバルＸ ロジスティクス・REIT ETF Solactive Logistics REIT Index（配当込み）,false,false,
2096.T,グローバルＸ オフィス・J-REIT ETF,jp,etf,JPY,reit,real_estate,,0.275,beginner,"low_cost,balanced",グローバルＸ オフィス・J-REIT ETF 配当込み東証REITオフィスフォーカス指数,false,false,
2097.T,グローバルＸ レジデンシャル・J-REIT ETF,jp,etf,JPY,reit,real_estate,,0.275,beginner,"low_cost,balanced",グローバルＸ レジデンシャル・J-REIT ETF 配当込み東証REIT住宅フォーカス指数,false,false,
2098.T,グローバルＸ ホテル＆リテール・J-REIT ETF,jp,etf,JPY,reit,real_estate,,0.275,beginner,"low_cost,balanced",グローバルＸ ホテル＆リテール・J-REIT ETF 配当込み東証REITホテル&リテールフォーカス指数,false,false,
2018.T,グローバルＸ US REIT・トップ20 ETF,jp,etf,JPY,reit,real_estate,,0.375,beginner,"low_cost,balanced",グローバルＸ US REIT・トップ20 ETF Solactive GPR US REITs Top 20 Index（配当込み、円換算）,false,false,
210A.T,iFreeETF 日経高利回りREIT指数,jp,etf,JPY,reit,real_estate,,0.145,beginner,"low_cost,balanced",iFreeETF 日経高利回りREIT指数 日経高利回りREIT指数（トータルリターン）,false,false,
1322.T,上場インデックスファンド中国Ａ株（パンダ）E Fund CSI300,jp,etf,JPY,index,index,,0.50,beginner,"low_cost,balanced",上場インデックスファンド中国Ａ株（パンダ）E Fund CSI300 CSI300,false,false,
2553.T,Ｏｎｅ ＥＴＦ 南方 中国Ａ株 ＣＳＩ５００,jp,etf,JPY,index,index,,0.44,beginner,"low_cost,balanced",Ｏｎｅ ＥＴＦ 南方 中国Ａ株 ＣＳＩ５００ ＣＳＩ スモールキャップ ５００指数,false,false,
1309.T,NEXT FUNDS ChinaAMC・中国株式・上証50連動型上場投信,jp,etf,JPY,index,index,,0.53,beginner,"low_cost,balanced",NEXT FUNDS ChinaAMC・中国株式・上証50連動型上場投信 上証50指数（税引後配当込み）,false,false,
2530.T,ＭＡＸＩＳ ＨｕａＡｎ中国株式（上海１８０Ａ株）上場投信,jp,etf,JPY,index,index,,0.38,beginner,"low_cost,balanced",ＭＡＸＩＳ ＨｕａＡｎ中国株式（上海１８０Ａ株）上場投信 SSE 180 インデックス,false,false,
