symbol,name,market,asset_type,case_type,as_of,lookback_days,forward_days,upward_signal_score,upside_signal_score,downside_signal_score,risk_signal_score,chart_shape_label,signal_reason,forward_return_20d,forward_return_60d,forward_return_120d,max_drawdown_after_signal,benchmark_return,excess_return,success_flag,false_positive_flag,adjustment_note
4502.T,Takeda Pharmaceutical,jp,stock,sideways,2016-11-14,60,60,76.39,64.4000,36.767677343822864,63.232322656177136,横ばい上放れ候補,形状は「横ばい上放れ候補」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,5.614798694232861806311207800,13.66702937976060935799782370,22.28509249183895538628944500,-5.331991951710261569416498990,,,True,False,
4502.T,Takeda Pharmaceutical,jp,stock,chart_shape,2019-02-22,60,60,54.26,46.5500,35,65,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,4.031710079275198187995470000,-10.55492638731596828992072480,-19.56964892412231030577576444,-19.98752079866888519134775374,,,False,False,
4502.T,Takeda Pharmaceutical,jp,stock,chart_shape,2021-07-14,60,60,32.17,34.9500,55,45,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性は相対的に良好。危険条件は上限固定ではなく11点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-4.010554089709762532981530340,-14.90765171503957783641160950,-11.76781002638522427440633245,-16.14678899082568807339449541,,,False,False,
4502.T,Takeda Pharmaceutical,jp,stock,chart_shape,2023-11-24,60,60,66.66,47.4000,0,100,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-4.877468474898881751130145130,6.638115631691648822269807300,-1.641684511063526052819414700,-6.585829766999524488825487400,,,False,True,
4502.T,Takeda Pharmaceutical,jp,stock,chart_shape,2026-04-13,60,60,67.03,47.1000,0,100,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-6.369765791341376863023420870,-4.914833215046132008516678500,,-16.02405376724442872302794482,,,False,True,
6367.T,Daikin Industries,jp,stock,chart_shape,2016-11-14,60,60,73.66,96.3000,7.61265748550831,92.38734251449169,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,5.196697425934919864011656100,9.373482272948033025740650800,6.459446333171442447790189400,-3.490401396160558464223385690,,,True,False,
6367.T,Daikin Industries,jp,stock,chart_shape,2019-02-22,60,60,56.33,48.1000,17.439819772950024,82.560180227049976,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,0.701030927835051546391752600,13.89690721649484536082474230,9.154639175257731958762886600,-6.560283687943262411347517730,,,True,False,
6367.T,Daikin Industries,jp,stock,already_rising,2021-07-14,60,60,60.84,64.6000,0,100,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく5点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,16.46451033243486073674752920,9.411500449236298292902066500,19.07008086253369272237196770,-22.97503820682628629648497198,,,True,False,
6367.T,Daikin Industries,jp,stock,chart_shape,2023-11-24,60,60,63.22,54.7000,18.477991953619146,81.522008046380854,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-3.247456159341848885040051960,-7.663996536046763368694522620,3.658800606191816410478458500,-14.94416243654822335025380711,,,False,False,
6367.T,Daikin Industries,jp,stock,already_rising,2026-04-13,60,60,53.27,52.3000,14.927729536633386,85.072270463366614,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく5点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,25.37682233753397578453175190,24.09191994069681245366938470,,-12.10240496508921644685802948,,,True,False,
6501.T,Hitachi,jp,stock,already_rising,2016-11-14,60,60,53.34,87.2500,25.46510805937261,74.53489194062739,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく8点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,7.819140056856173094021891700,8.210094984731864072047235000,6.170319317725905873606741500,-8.039016319305034687356700540,,,True,False,
6501.T,Hitachi,jp,stock,sideways,2019-02-22,60,60,78.99,77.8500,2.17845784426998,97.82154215573002,横ばい上放れ候補,形状は「横ばい上放れ候補」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,1.911927970031244270218823100,9.907294461201222216583916200,5.735801591192832365322626100,-9.885716029575885714285714290,,,True,False,
6501.T,Hitachi,jp,stock,chart_shape,2021-07-14,60,60,74.90,86.5000,7.556539559248286,92.443460440751714,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-5.966767371601208459214501510,-2.024172872214879154078549850,4.184291874173904833836858000,-10.19637462235649546827794562,,,False,True,
6501.T,Hitachi,jp,stock,already_rising,2023-11-24,60,60,54.82,63.7500,0,100,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく8点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-4.076738609112709832134292570,21.91846522781774580335731410,49.44844124700239808153477220,-5.767574155233739837398373980,,,True,False,
6501.T,Hitachi,jp,stock,sideways,2026-04-13,60,60,77.64,74.5000,5.288120679679594,94.711879320320406,横ばい上放れ候補,形状は「横ばい上放れ候補」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-0.7425742574257425742574257400,-3.052805280528052805280528050,,-16.52352501867064973861090366,,,False,True,
6723.T,Renesas Electronics,jp,stock,already_rising,2016-11-14,60,60,19.59,26.3000,60.30887230058906,39.69112769941094,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく18点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,24.04092071611253196930946290,34.65473145780051150895140660,31.84143222506393861892583120,-9.064039408866995073891625620,,,True,False,
6723.T,Renesas Electronics,jp,stock,chart_shape,2019-02-22,60,60,41.71,68.9000,60.96780041559789,39.03219958440211,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性を確認。危険条件は上限固定ではなく16点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-24.70930232558139534883720930,-31.2500,-9.593023255813953488372093020,-34.52211126961483594864479315,,,False,False,
6723.T,Renesas Electronics,jp,stock,already_rising,2021-07-14,60,60,32.74,23.8500,35,65,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測の上向き材料は不足。下落安全性は相対的に良好。危険条件は上限固定ではなく11点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-9.235668789808917197452229300,0.159235668789808917197452200,14.80891719745222929936305730,-13.77388535031847133757961783,,,False,False,
