symbol,name,market,asset_type,case_type,as_of,lookback_days,forward_days,upward_signal_score,upside_signal_score,downside_signal_score,risk_signal_score,chart_shape_label,signal_reason,forward_return_20d,forward_return_60d,forward_return_120d,max_drawdown_after_signal,benchmark_return,excess_return,success_flag,false_positive_flag,adjustment_note
SMH,ヴァンエック ベクトル半導体ETF,us,etf,etf,2026-04-13,60,60,50.03,73.4000,9.89720152579856,90.10279847420144,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく8点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,29.99278258651863364967339190,37.07989026227399891830666490,,-13.07499730140853341714291196,,,True,False,
VZ,Verizon Communicatiuons ベライゾン コミュニケーションズ,us,stock,chart_shape,2016-11-07,60,60,21.20,0,75,25,押し目反発待ち,形状は「押し目反発待ち」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,6.110412098233033270980953300,2.359887838574488937800307700,-3.265906588623712280547153810,-11.63982555160216294927233996,,,False,False,
VZ,Verizon Communicatiuons ベライゾン コミュニケーションズ,us,stock,sideways,2019-03-19,60,60,57.59,40.7000,35,65,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,2.243479853091033043478260900,0.208693794582201739130434800,2.017391038977582608695652200,-10.72602246949385676917397036,,,False,False,
VZ,Verizon Communicatiuons ベライゾン コミュニケーションズ,us,stock,chart_shape,2021-07-23,60,60,34.92,33.8500,55,45,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性は相対的に良好。危険条件は上限固定ではなく11点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-0.6442387320514530415712049800,-7.104511712274073192352141020,-4.348604614759619977318336690,-8.665478408847698732506434080,,,False,False,
VZ,Verizon Communicatiuons ベライゾン コミュニケーションズ,us,stock,chart_shape,2023-11-29,60,60,6.60,22.0000,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-0.7150335144809325991410116700,5.746827542640816622039063200,5.376066430692887142810171200,-6.589792753942886411539093010,,,False,False,
VZ,Verizon Communicatiuons ベライゾン コミュニケーションズ,us,stock,falling_knife,2026-04-13,60,60,30.65,50.2500,15,85,落ちるナイフ注意,形状は「落ちるナイフ注意」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく22点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,3.985031805942606298335075600,-7.001313559393197470002373000,,-13.40482527326141099257153904,,,False,False,
XLE,ST エネルギー セレクト セクター SPDR ETF,us,etf,etf,2016-11-07,60,60,69.61,52.0500,0,100,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,8.840090741631552251453465600,6.023397323044708076284344300,-2.773372389483721514225171110,-7.028139653108116924806485080,,,False,True,
XLE,ST エネルギー セレクト セクター SPDR ETF,us,etf,etf,2019-03-19,60,60,11.57,36.5500,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく26点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,2.053141084256330605237448100,-7.291663907192282623189590490,-9.103259320295101420884154690,-14.34193275769082885772191530,,,False,False,
XLE,ST エネルギー セレクト セクター SPDR ETF,us,etf,etf,2021-07-23,60,60,81.32,93.0500,21.43050477225662,78.56949522774338,底打ち接近,形状は「底打ち接近」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-5.420447327498749535894184610,18.23989775479280352146518260,30.56471120454096795939372280,-8.766682270519426224961340670,,,True,False,
XLE,ST エネルギー セレクト セクター SPDR ETF,us,etf,etf,2023-11-29,60,60,74.56,46.5000,0,100,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,0.011904471114145668570638300,2.225663914896571985525387100,9.592960616540830958612606700,-7.210867262448057847458615690,,,False,True,
XLE,ST エネルギー セレクト セクター SPDR ETF,us,etf,etf,2026-04-13,60,60,90.07,76.6000,0,100,押し目反発待ち,形状は「押し目反発待ち」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,0.105056133693815880098247500,-4.009807198482611120765341790,,-13.83586134045559495872751505,,,False,True,
XLV,ST ヘルスケア セレクト セクター SPDR ETF,us,etf,etf,2016-11-07,60,60,12.25,4.8500,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,0.440016207707534623059711200,4.752123568887063408748998100,11.29362997033846677574921590,-5.128561059466629738519445360,,,False,False,
XLV,ST ヘルスケア セレクト セクター SPDR ETF,us,etf,etf,2019-03-19,60,60,77.12,56.8000,0,100,横ばい上放れ候補,形状は「横ばい上放れ候補」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-4.601428010343277824190674340,-1.209767470760991562471900310,-2.322317437195946910278472250,-7.345002070929795959864813640,,,False,True,
XLV,ST ヘルスケア セレクト セクター SPDR ETF,us,etf,etf,2021-07-23,60,60,61.23,46.5500,15,85,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,3.521451957153300418497335200,-3.331303160744285317755554820,3.757227412482745379752038800,-8.410675376162305201636788800,,,False,False,
XLV,ST ヘルスケア セレクト セクター SPDR ETF,us,etf,etf,2023-11-29,60,60,64.44,45.8000,0,100,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,5.058615968450731995498609900,13.15547021970868791068007040,12.97810208328136657760214850,-2.382882594746001191438263870,,,True,False,
XLV,ST ヘルスケア セレクト セクター SPDR ETF,us,etf,etf,2026-04-13,60,60,72.12,52.4000,0,100,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-3.331761771912820233353328200,9.596537697571767867652406200,,-4.024729839057364187084389810,,,True,False,
